page_item,prod_product,how
Khai vị chay,KHAI VỊ CHAY HỒ LAK,contains
Gỏi đu đủ chay,GỎI ĐU ĐỦ CHAY,exact
Gỏi mít chay,GỎI MÍT TRỘN,curated
Gỏi măng rừng chay,GỎI MĂNG RỪNG,contains
Chả giò chay,CHẢ GIÒ CHAY,exact
Đậu hủ chiên muối sả,ĐẬU HỦ CHIÊN SẢ,fuzzy
Đậu hủ nhồi nhân sốt cà chua,ĐẬU HỦ NHỒI SỐT CÀ CHUA,fuzzy
Nấm kho tộ,NẤM KHO TỘ,exact
Mít non kho,MÍT NON KHO RỊU,contains
Cà tím kho tộ,CÀ TÍM KHO TỘ,exact
Ngũ quả luộc kho quẹt chay,NGŨ QUẢ LUỘC + KHO QUẸT CHAY,exact
Cà tím xào lá lốt,CÀ TÍM XÀO LÁ LỐT,exact
Đậu khuôn xào giá & rau củ,ĐẬU KHUÔN XÀO GIÁ & RAU CỦ,exact
Canh chua chay,CANH CHUA CHAY,exact
Canh bí đỏ đậu phộng,CANH BÍ ĐỎ ĐẬU PHỘNG,exact
Canh lagim,CANH LAGIM,exact
Lẩu nấu chao,LẨU NẤU CHAO,exact
Khai vị Y Lak,KHAI VỊ Y LAK,exact
Soup bí đỏ,SOUP BÍ ĐỎ,exact
Salad rau xanh,SALAD RAU XANH HỖN HỢP,contains
Gỏi cuốn tôm thịt vườn Lắk,GỎI CUỐN TÔM THỊT,contains
Chả giò tôm thịt,CHẢ GIÒ TÔM THỊT,exact
Gỏi cà đắng cá cơm,GỎI CÀ ĐẮNG CÁ CƠM,exact
Gỏi bò bóp thấu,GỎI  BÒ BÓP THẤU,exact
Gỏi măng rừng tôm thịt,GỎI MĂNG RỪNG TÔM THỊT,exact
Gỏi gà hoa chuối,GỎI GÀ HOA CHUỐI,exact
Gỏi ngó sen tôm thịt,GỎI NGÓ SEN TÔM THỊT,exact
Gỏi đu đủ tôm thịt,GỎI ĐU ĐỦ TÔM THỊT,exact
