prod_id,vietnamese_name,pos_button_name_now,english_description,source,price_vnd,on_till
1221,KHAI VỊ Y LAK,KHAI VỊ Y LAK / Y Lak appetiser platter,"Eggplant salad with dried anchovy, egg salad, fish cake and grilled chicken.",deck,185000,yes
1311,KHAI VỊ CHAY HỒ LAK,KHAI VỊ CHAY HỒ LAK / Vegetarian appetiser platter,"Deep-fried spring rolls, fresh spring rolls, jackfruit salad and papaya salad.",deck,185000,yes
1202,SOUP BÍ ĐỎ,SOUP BÍ ĐỎ / Pumpkin soup,Pumpkin soup.,deck,95000,yes
1204,SALAD RAU XANH HỖN HỢP,SALAD RAU XANH HỖN HỢP / Mixed garden green salad,"Mixed garden green salad with tomato, cucumber and vinegar dressing.",deck,95000,yes
1222,GỎI CUỐN TÔM THỊT,GỎI CUỐN TÔM THỊT / Fresh summer rolls with pork & shrimp,"Lak garden summer rolls with pork, shrimp and local herbs.",deck,135000,yes
1223,CHẢ GIÒ TÔM THỊT,CHẢ GIÒ TÔM THỊT / Crispy spring rolls with pork & shrimp,Crispy spring rolls with pork and shrimp.,deck,135000,yes
1230,GỎI CÀ ĐẮNG CÁ CƠM,GỎI CÀ ĐẮNG CÁ CƠM / Wild eggplant salad with dried anchovy,Wild eggplant salad with dried anchovy.,deck,135000,yes
1227,GỎI  BÒ BÓP THẤU,GỎI  BÒ BÓP THẤU / Beef salad with Vietnamese herbs,Beef salad with Vietnamese herbs.,deck,165000,yes
1232,GỎI MĂNG RỪNG TÔM THỊT,GỎI MĂNG RỪNG TÔM THỊT / Wild bamboo shoot salad with pork & shrimp,Young wild bamboo shoot salad with pork and shrimp. Seasonal.,deck,165000,yes
1228,GỎI GÀ HOA CHUỐI,GỎI GÀ HOA CHUỐI / Banana flower salad with chicken,Banana flower salad with chicken.,deck,165000,yes
1322,GỎI NGÓ SEN TÔM THỊT,GỎI NGÓ SEN TÔM THỊT / Lotus root salad with pork & shrimp,Lotus root salad with pork and shrimp.,deck,165000,yes
1229,GỎI ĐU ĐỦ TÔM THỊT,GỎI ĐU ĐỦ TÔM THỊT / Green papaya salad with pork & shrimp,Green papaya salad with pork and shrimp.,deck,165000,yes
1231,GỎI RAU MUỐNG TÉP RAM HỒ LĂK,GỎI RAU MUỐNG TÉP RAM HỒ LĂK / Morning glory salad with Lak lake shrimp,Morning glory salad with Lak lake shrimp.,deck,165000,yes
1205,GỎI ĐU ĐỦ CHAY,GỎI ĐU ĐỦ CHAY / Vegetarian green papaya salad,"Green papaya salad with carrot, Vietnamese herbs, tofu and peanut.",deck,135000,yes
1206,GỎI MÍT TRỘN,GỎI MÍT TRỘN / Young jackfruit salad,"Green jackfruit salad with Vietnamese herbs, tofu and peanut.",deck-variant,135000,yes
1207,GỎI MĂNG RỪNG,GỎI MĂNG RỪNG / Wild bamboo shoot salad,"Young wild bamboo shoot salad with Vietnamese herbs, tofu and peanut. Seasonal.",deck,135000,yes
1203,CHẢ GIÒ CHAY,CHẢ GIÒ CHAY / Vegetarian spring rolls,"Crispy spring rolls with tofu, taro and carrot.",deck,105000,yes
1396,CUỐN DIẾP & RAM BẮP,CUỐN DIẾP & RAM BẮP / Lettuce rolls & corn fritters,Lettuce rolls served with crispy corn fritters.,deck,135000,yes
1208,ĐẬU HỦ CHIÊN SẢ,ĐẬU HỦ CHIÊN SẢ / Fried tofu with lemongrass,Tofu fried with a little salt and lemongrass.,deck,75000,yes
1209,ĐẬU HỦ NHỒI SỐT CÀ CHUA,ĐẬU HỦ NHỒI SỐT CÀ CHUA / Stuffed tofu in tomato sauce,Tofu stuffed with mushroom and carrot in tomato sauce.,deck,65000,yes
1210,NẤM KHO TỘ,NẤM KHO TỘ / Caramelised mushrooms in claypot,Caramelised mushrooms in claypot.,deck,155000,yes
1211,MÍT NON KHO RỊU,MÍT NON KHO RỊU / Caramelised young jackfruit in claypot,Caramelised young jackfruit in claypot.,deck,135000,yes
1212,CÀ TÍM KHO TỘ,CÀ TÍM KHO TỘ / Caramelised eggplant in claypot,Caramelised eggplant in claypot.,deck,95000,yes
1213,NGŨ QUẢ LUỘC + KHO QUẸT CHAY,NGŨ QUẢ LUỘC + KHO QUẸT CHAY / Steamed five vegetables with vegetarian dip,Five steamed vegetables served with a vegetarian caramelised dip.,deck,135000,yes
1214,CÀ TÍM XÀO LÁ LỐT,CÀ TÍM XÀO LÁ LỐT / Stir-fried eggplant with betel leaf,Stir-fried eggplant with wild betel leaf.,deck,95000,yes
1215,ĐẬU KHUÔN XÀO GIÁ & RAU CỦ,ĐẬU KHUÔN XÀO GIÁ & RAU CỦ / Stir-fried tofu with bean sprouts & vegetables,Stir-fried tofu with bean sprouts and vegetables.,deck,95000,yes
1278,CÀ TÍM NƯỚNG MỠ HÀNH,CÀ TÍM NƯỚNG MỠ HÀNH / Charcoal eggplant with spring onion oil,Charcoal-grilled eggplant with spring onion oil.,deck,95000,yes
1272,LÁ BÉP XÀO TỎI,LÁ BÉP XÀO TỎI / Sautéed bep leaves with garlic,Sautéed bep leaves with garlic.,deck,95000,yes
1273,LÁ BÉP XÀO CÁ HỘP,LÁ BÉP XÀO CÁ HỘP / Sautéed bep leaves with canned fish,Sautéed bep leaves with canned fish.,deck,115000,yes
1269,RAU MUỐNG XÀO TỎI,RAU MUỐNG XÀO TỎI / Sautéed morning glory with garlic,Sautéed morning glory with garlic.,deck,95000,yes
1267,RAU RỪNG XÀO TỎI,RAU RỪNG XÀO TỎI / Sautéed wild vegetables with garlic,Sautéed wild forest vegetables with garlic.,deck,95000,yes
