store,store_name,product,uom,kind,counted_24_08_2026,min,max
BUONGPHONG,Kho Buồng phòng,Khăn mặt,Cái,equipment,209.0,,
BUONGPHONG,Kho Buồng phòng,Khăn tắm trắng,Cái,equipment,205.0,,
BUONGPHONG,Kho Buồng phòng,Vỏ gối nhỏ,Cái,equipment,190.0,,
BUONGPHONG,Kho Buồng phòng,Móc áo,Cái,equipment,110.0,,
BUONGPHONG,Kho Buồng phòng,Ly tròn,Cái,equipment,85.0,,
BUONGPHONG,Kho Buồng phòng,Tách sứ,Cái,equipment,85.0,,
BUONGPHONG,Kho Buồng phòng,Đĩa lót tách sứ,Cái,equipment,85.0,,
BUONGPHONG,Kho Buồng phòng,Gối nhỏ,Cái,equipment,75.0,,
BUONGPHONG,Kho Buồng phòng,Dép lào,Cái,equipment,53.0,,
BUONGPHONG,Kho Buồng phòng,Drap 12,Cái,equipment,52.0,,
BUONGPHONG,Kho Buồng phòng,Hũ đựng trà/ café/ đường,Cái,equipment,50.0,,
BUONGPHONG,Kho Buồng phòng,Thảm chân lều,Cái,equipment,50.0,,
BUONGPHONG,Kho Buồng phòng,Vỏ chăn 12,Cái,equipment,46.0,,
BUONGPHONG,Kho Buồng phòng,Giỏ rác,Cái,equipment,44.0,,
BUONGPHONG,Kho Buồng phòng,Cây dù,Cái,equipment,43.0,,
BUONGPHONG,Kho Buồng phòng,Mùng tròn,Cái,equipment,43.0,,
BUONGPHONG,Kho Buồng phòng,vỏ chăn 18,Cái,equipment,43.0,,
BUONGPHONG,Kho Buồng phòng,Móc quần,Cái,equipment,41.0,,
BUONGPHONG,Kho Buồng phòng,Thổ cẩm trang trí,Cái,equipment,39.0,,
BUONGPHONG,Kho Buồng phòng,Drap 18,Cái,equipment,38.0,,
BUONGPHONG,Kho Buồng phòng,Muỗng cà phê HK,Cái,equipment,38.0,,
BUONGPHONG,Kho Buồng phòng,Đồ lót giường 12,Cái,equipment,36.0,,
BUONGPHONG,Kho Buồng phòng,"Bình nước thủy tinh ( 19 lều, bun , gm)",Cái,equipment,34.0,,
BUONGPHONG,Kho Buồng phòng,Khăn chùi chân ( khăn nâu),Cái,equipment,32.0,,
BUONGPHONG,Kho Buồng phòng,Chăn 12 ( ruột ),Cái,equipment,30.0,,
BUONGPHONG,Kho Buồng phòng,Khăn XÁM,Cái,equipment,30.0,,
BUONGPHONG,Kho Buồng phòng,Đồ lót giường 18,Cái,equipment,30.0,,
BUONGPHONG,Kho Buồng phòng,Cây mùng,Cái,equipment,28.0,,
BUONGPHONG,Kho Buồng phòng,Nệm,Cái,equipment,28.0,,
BUONGPHONG,Kho Buồng phòng,lót giường 10,cái,equipment,28.0,,
BUONGPHONG,Kho Buồng phòng,Điều hòa,Cái,equipment,28.0,,
BUONGPHONG,Kho Buồng phòng,Đèn pin,Cái,equipment,28.0,,
BUONGPHONG,Kho Buồng phòng,Bình đun nước ( siêu tốc ),Cái,equipment,26.0,,
BUONGPHONG,Kho Buồng phòng,Máy sấy tóc,Cái,equipment,26.0,,
BUONGPHONG,Kho Buồng phòng,Máy nước nóng,Cái,equipment,25.0,,
BUONGPHONG,Kho Buồng phòng,Phin cà phê,Bộ,equipment,25.0,,
BUONGPHONG,Kho Buồng phòng,Hộp nhựa đựng đồ,Cái,equipment,24.0,,
BUONGPHONG,Kho Buồng phòng,Bình trà thủy tinh,Cái,equipment,23.0,,
BUONGPHONG,Kho Buồng phòng,Hộp khăn giấy gỗ,Cái,equipment,23.0,,
BUONGPHONG,Kho Buồng phòng,"Đèn bão( bun 8 CÁI , LỀU 15 CÁI)",Cái,equipment,23.0,,
BUONGPHONG,Kho Buồng phòng,Chổi quét nhà,Cây,equipment,20.0,,
BUONGPHONG,Kho Buồng phòng,drap 10 chun,cái,equipment,20.0,,
BUONGPHONG,Kho Buồng phòng,Chăn 18,Cái,equipment,19.0,,
BUONGPHONG,Kho Buồng phòng,"Ga 0,9*2m",Cái,equipment,18.0,,
BUONGPHONG,Kho Buồng phòng,Gối to,Cái,equipment,18.0,,
BUONGPHONG,Kho Buồng phòng,Gối 47 *67,Cái,equipment,16.0,,
BUONGPHONG,Kho Buồng phòng,Vỏ gối to,Cái,equipment,16.0,,
BUONGPHONG,Kho Buồng phòng,giường mới,cái,equipment,16.0,,
BUONGPHONG,Kho Buồng phòng,võ chăn 10,cái,equipment,16.0,,
BUONGPHONG,Kho Buồng phòng,Bàn gỗ để ban công,Cái,equipment,15.0,,
BUONGPHONG,Kho Buồng phòng,Cục gỗ để quạt ( lều ),Cái,equipment,15.0,,
BUONGPHONG,Kho Buồng phòng,Gối chữ nhật nhỏ tầng trên Bun,Cái,equipment,15.0,,
BUONGPHONG,Kho Buồng phòng,Hộp đựng xà phòng+ Nút nhấn,Cái,equipment,15.0,,
BUONGPHONG,Kho Buồng phòng,Khay trà gỗ,Cái,equipment,15.0,,
